Sample for t = 0.0
parameter = [0.13134298004189024] likelihood = -352214710.75222725
parameter = [0.06158072216970881] likelihood = -1602255193.2483702
parameter = [0.06144453080535507] likelihood = -1609365839.4381719
parameter = [0.05003414009193595] likelihood = -2427103888.3671727
parameter = [0.024410890198337337] likelihood = -10196567957.402184
parameter = [0.11089060753482907] likelihood = -494119169.3564117
parameter = [0.1272319861624473] likelihood = -375343249.9032475
parameter = [0.058068941519304904] likelihood = -1801911365.7493443
parameter = [0.09691199679405126] likelihood = -646943194.4822251
parameter = [0.06142077128765031] likelihood = -1610611188.5905461
parameter = [0.0635937691563554] likelihood = -1502422609.376233
parameter = [0.049636076329913376] likelihood = -2466189015.5707855
parameter = [0.3406015130663746] likelihood = -52375487.47151518
parameter = [0.22910518062116378] likelihood = -115758098.9533247
parameter = [0.418677750631211] likelihood = -34662629.52441163
parameter = [0.2973670778281557] likelihood = -68712451.03914279
parameter = [0.29431037094082535] likelihood = -70147157.61951774
parameter = [0.3408934877661314] likelihood = -52285806.87356955
parameter = [0.2777539734282411] likelihood = -78759082.18684897
parameter = [0.1987551530497861] likelihood = -153809943.85332903
parameter = [0.1239675085224987] likelihood = -395371607.7375693
parameter = [0.17921161545987166] likelihood = -189185959.47466242
parameter = [0.15280065568387627] likelihood = -260238041.11881423
parameter = [0.2475254492093526] likelihood = -99170268.83006862
parameter = [0.19048739921605826] likelihood = -167451369.8929564
parameter = [0.1653564242415976] likelihood = -222217915.52839935
parameter = [0.23099193145264796] likelihood = -113874788.88866279
parameter = [0.2252484251963764] likelihood = -119756109.5698947
parameter = [0.15099128348582866] likelihood = -266512426.7180773
parameter = [0.1967531904958656] likelihood = -156955898.51831254
parameter = [0.13668138912715086] likelihood = -325238877.15865564
parameter = [0.15702569317365006] likelihood = -246422169.89224806
parameter = [0.05236508826275408] likelihood = -2215835755.636623
parameter = [0.07808114198051318] likelihood = -996618455.6642988
parameter = [0.12552871414598812] likelihood = -385598258.5063461
parameter = [0.07057331997169931] likelihood = -1219944697.8479533
parameter = [0.037822678472215404] likelihood = -4247336676.8302565
parameter = [0.025925676614213192] likelihood = -9039846439.875034
parameter = [0.08342830291670744] likelihood = -872960148.1624401
parameter = [0.07006158468142688] likelihood = -1237830924.6319327
parameter = [0.04316995564901443] likelihood = -3260303598.3023634
parameter = [0.04224062680882857] likelihood = -3405340475.121851
parameter = [0.09974927039880158] likelihood = -610663237.9006187
parameter = [0.05653890569723091] likelihood = -1900756339.332366
parameter = [0.038713086538416125] likelihood = -4054204511.8748455
parameter = [0.16336427990330618] likelihood = -227670629.81681007
parameter = [0.21923542829513007] likelihood = -126415326.78523885
parameter = [0.21329681998620484] likelihood = -133552630.10737926
parameter = [0.1702862287592165] likelihood = -209537692.99570587
parameter = [0.13092936678386677] likelihood = -354443558.1139415
parameter = [0.2398982201007743] likelihood = -105576474.02000615
parameter = [0.11792797693307949] likelihood = -436905518.0539546
parameter = [0.07651749944002681] likelihood = -1037766627.9595885
parameter = [0.1867459547212538] likelihood = -174228342.12340477
parameter = [0.3142015108234969] likelihood = -61546686.53328219
parameter = [0.29390472753562386] likelihood = -70340923.58334866
parameter = [0.14487983307877497] likelihood = -289471189.01977295
parameter = [0.24785002410063142] likelihood = -98910699.73818985
parameter = [0.42149152284992525] likelihood = -34201376.334460944
parameter = [0.14830111024198034] likelihood = -276269163.9002834
parameter = [0.2533694556592185] likelihood = -94648271.82106352
parameter = [0.20115351369082418] likelihood = -150164046.1002233
parameter = [0.11919478998392714] likelihood = -427667925.8949864
parameter = [0.06475056573885475] likelihood = -1449219295.2885811
parameter = [0.1647152953317672] likelihood = -223951180.2800908
parameter = [0.15380695102280348] likelihood = -256843920.59659395
parameter = [0.14844400946753028] likelihood = -275737520.36175334
parameter = [0.06948689698541302] likelihood = -1258390423.1436107
parameter = [0.2774253392833027] likelihood = -78945786.49357826
parameter = [0.19263457858225955] likelihood = -163739219.04463297
parameter = [0.24894567573791515] likelihood = -98041970.5412347
parameter = [0.2311695485003689] likelihood = -113699866.76879904
parameter = [0.449218562853245] likelihood = -30109663.935762025
parameter = [0.3799648548607964] likelihood = -42085683.72692366
parameter = [0.23791869394965376] likelihood = -107340612.94742604
parameter = [0.2071431443927702] likelihood = -141605485.77839327
parameter = [0.1579756823873572] likelihood = -243467353.9046067
parameter = [0.13064503538765798] likelihood = -355988034.7504586
parameter = [0.08664196373788921] likelihood = -809402724.0882022
parameter = [0.10493465079431176] likelihood = -551802148.2878373
parameter = [0.0816700094422144] likelihood = -910953115.7813379
parameter = [0.07577099277696571] likelihood = -1058315809.6693575
parameter = [0.15665156262284863] likelihood = -247600634.47865382
parameter = [0.2798516047492325] likelihood = -77582827.69935493
parameter = [0.2768504081158247] likelihood = -79274018.04891619
parameter = [0.1602810024239836] likelihood = -236514142.8286708
parameter = [0.12392601201958132] likelihood = -395636431.66483974
parameter = [0.07064597237404623] likelihood = -1217436802.8437235
parameter = [0.22663544724939788] likelihood = -118294766.38568732
parameter = [0.2418776040727356] likelihood = -103855592.81943874
parameter = [0.16236664056637232] likelihood = -230477006.53379872
parameter = [0.15341893400428228] likelihood = -258144748.86373958
parameter = [0.2741837509393454] likelihood = -80823523.59807383
parameter = [0.41486197829931787] likelihood = -35303193.97504099
parameter = [0.19725093337517066] likelihood = -156164773.08892033
parameter = [0.3301692975926857] likelihood = -55737546.58916065
parameter = [0.27254467959620976] likelihood = -81798584.77082083
parameter = [0.23167196471565904] likelihood = -113207250.27500103
parameter = [0.21948156538694638] likelihood = -126131949.41623542
parameter = [0.18259542120768402] likelihood = -182239050.87400177
parameter = [0.15334507122873553] likelihood = -258393493.4818122
parameter = [0.2489212443879311] likelihood = -98061216.9115685
parameter = [0.12828942102227112] likelihood = -369181162.53791827
parameter = [0.1512751385740751] likelihood = -265513188.69345987
parameter = [0.3501118492768685] likelihood = -49568709.12925044
parameter = [0.2598831488567132] likelihood = -89963214.56784412
parameter = [0.12539800403080328] likelihood = -386402543.44833386
parameter = [0.42213568227736864] likelihood = -34097076.59345612
parameter = [0.4783312851641457] likelihood = -26556066.84233105
parameter = [0.5301099561026907] likelihood = -21621681.749145404
parameter = [0.3139023020523168] likelihood = -61664073.90575409
parameter = [0.3845629845586307] likelihood = -41085283.3744798
parameter = [0.10517505783114474] likelihood = -549282434.6896143
parameter = [0.17256943973524116] likelihood = -204029720.351803
parameter = [0.15471160886304539] likelihood = -253848973.53080824
parameter = [0.26264285552036587] likelihood = -88082579.17847463
parameter = [0.28243240628317] likelihood = -76171438.22476664
parameter = [0.13983927853252648] likelihood = -310715465.9242068
parameter = [0.2524664283354954] likelihood = -95326562.63874009
parameter = [0.1918333786585318] likelihood = -165109802.31708997
parameter = [0.22293500006691067] likelihood = -122254454.58135721
parameter = [0.20036897514613491] likelihood = -151342273.6708935
parameter = [0.17284910044790822] likelihood = -203370035.8083446
parameter = [0.10014586899889434] likelihood = -605836106.4743282
parameter = [0.21869666667998555] likelihood = -127038945.06006232
parameter = [0.1049753805445468] likelihood = -551374040.2047951
parameter = [0.11424249521089229] likelihood = -465549502.77340436
parameter = [0.08262262099263126] likelihood = -890068233.6517973
parameter = [0.06328991102266462] likelihood = -1516883657.8606472
parameter = [0.021348189516120428] likelihood = -13332118157.17495
parameter = [0.026406488420589142] likelihood = -8713646724.58884
parameter = [0.09290478241629656] likelihood = -703955315.6715081
parameter = [0.185394910678458] likelihood = -176776932.7048787
parameter = [0.1901331260042841] likelihood = -168075972.31130823
parameter = [0.24920239005063557] likelihood = -97840079.9159374
parameter = [0.08619056052302564] likelihood = -817903046.2459784
parameter = [0.3742155832455548] likelihood = -43388786.38368448
parameter = [0.22620669065319454] likelihood = -118743627.8180525
parameter = [0.3753097054540825] likelihood = -43136176.73737328
parameter = [0.31919624720714185] likelihood = -59635609.59652272
parameter = [0.35272045346343506] likelihood = -48838232.80718839
parameter = [0.18452381631337103] likelihood = -178449918.5867254
parameter = [0.15414001203619554] likelihood = -255735158.79258138
parameter = [0.1244822151484766] likelihood = -392108817.47477597
parameter = [0.15620261336229752] likelihood = -249025961.1019791
parameter = [0.06063401260009983] likelihood = -1652679439.4080443
parameter = [0.05537963349556013] likelihood = -1981167023.2734518
parameter = [0.23572992326008163] likelihood = -109343198.97381723
parameter = [0.1673133470111785] likelihood = -217050124.5571647
parameter = [0.11106730503700134] likelihood = -492548226.8431675
parameter = [0.14733917411339556] likelihood = -279888307.5166669
parameter = [0.08042020063301102] likelihood = -939487342.0133677
parameter = [0.1588174573536708] likelihood = -240893309.40505964
parameter = [0.06507564761606835] likelihood = -1434776466.307508
parameter = [0.057043933278246195] likelihood = -1867249354.7755756
parameter = [0.1431651367531384] likelihood = -296446737.0195956
parameter = [0.3481856639681694] likelihood = -50118660.542166546
parameter = [0.18720774482668043] likelihood = -173369855.2607491
parameter = [0.13811229518198315] likelihood = -318534542.96746457
parameter = [0.11886998216416379] likelihood = -430008292.61593366
parameter = [0.3876711104444768] likelihood = -40429127.73722677
parameter = [0.21393918548237864] likelihood = -132751834.22732198
parameter = [0.5055219223385892] likelihood = -23776141.21296829
parameter = [0.36930983088668545] likelihood = -44549158.01158628
parameter = [0.17123039606816753] likelihood = -207233274.97976172
