Sample for t = 0.0
parameter = [0.20854142298308506] likelihood = -139712911.06402737
parameter = [0.2440877508061063] likelihood = -101983340.68511079
parameter = [0.08894097856392645] likelihood = -768099404.0685333
parameter = [0.1360803548147596] likelihood = -328118226.3049506
parameter = [0.11753451391190314] likelihood = -439835617.57965887
parameter = [0.08075469525416142] likelihood = -931720545.6787032
parameter = [0.08248548723554426] likelihood = -893030206.0141106
parameter = [0.20829427232051478] likelihood = -140044659.26653868
parameter = [0.355058206037468] likelihood = -48197234.68306757
parameter = [0.2965967168759869] likelihood = -69069853.02820851
parameter = [0.24097123442947338] likelihood = -104638330.11408392
parameter = [0.07679593522596193] likelihood = -1030255096.1553205
parameter = [0.1756521797722245] likelihood = -196931017.49005902
parameter = [0.19849877468353835] likelihood = -154207518.18913212
parameter = [0.37162978340863895] likelihood = -43994685.15839931
parameter = [0.2683614635631471] likelihood = -84368611.73207085
parameter = [0.1846233115968395] likelihood = -178257633.64093667
parameter = [0.343969373310478] likelihood = -51354874.82487334
parameter = [0.21179245952383244] likelihood = -135456615.14392316
parameter = [0.17238851178463296] likelihood = -204458218.18959263
parameter = [0.40206562097155796] likelihood = -37586109.76566729
parameter = [0.4798524937509908] likelihood = -26387959.936206013
parameter = [0.15015040825089515] likelihood = -269505841.47591007
parameter = [0.17731438831634933] likelihood = -193256119.67305392
parameter = [0.14101496311724] likelihood = -305556005.28078175
parameter = [0.225703405461808] likelihood = -119273779.68053627
parameter = [0.19626241512112735] likelihood = -157741850.36090904
parameter = [0.13610358964444633] likelihood = -328006206.9129168
parameter = [0.11243245180980206] likelihood = -480659870.4720652
parameter = [0.16631171613074955] likelihood = -219672414.69588068
parameter = [0.16061344127711955] likelihood = -235536078.69897577
parameter = [0.2144962504557546] likelihood = -132063194.034863
parameter = [0.4701961919140738] likelihood = -27482934.49477946
parameter = [0.08246196466244374] likelihood = -893539758.874435
parameter = [0.09179925627865311] likelihood = -721012690.3101127
parameter = [0.16945899778609702] likelihood = -211588444.59503835
parameter = [0.29719909154263485] likelihood = -68790149.86851452
parameter = [0.2908807795982586] likelihood = -71811030.42216776
parameter = [0.13832085896553284] likelihood = -317574677.81430405
parameter = [0.2272346211508367] likelihood = -117671747.85139535
parameter = [0.5438971366703206] likelihood = -20539405.4340309
parameter = [0.22212390036894972] likelihood = -123148924.72362062
parameter = [0.16049584222426397] likelihood = -235881370.7430383
parameter = [0.24806413294986696] likelihood = -98740030.03029758
parameter = [0.06622677572842134] likelihood = -1385332485.1453884
parameter = [0.060512787517606866] likelihood = -1659307687.4231782
parameter = [0.028842094249859826] likelihood = -7304116107.892315
parameter = [0.13352726813455765] likelihood = -340785646.4013237
parameter = [0.07870152089352594] likelihood = -980968332.8210468
parameter = [0.10343540603836333] likelihood = -567914272.6090927
parameter = [0.2499088730800939] likelihood = -97287681.34335728
parameter = [0.5306727854512754] likelihood = -21575842.379090086
parameter = [0.039330110195786194] likelihood = -3927994968.107729
parameter = [0.049484371694763635] likelihood = -2481333425.329664
parameter = [0.048614052813465966] likelihood = -2570973438.909591
parameter = [0.16164019294371212] likelihood = -232553293.50684503
parameter = [0.14822663892028418] likelihood = -276546837.3223251
parameter = [0.12293048414270574] likelihood = -402070343.3603936
parameter = [0.0661408060565877] likelihood = -1388936129.843538
parameter = [0.16120321569562693] likelihood = -233815777.4411443
parameter = [0.11858940438784442] likelihood = -432045464.543857
parameter = [0.09207557711132487] likelihood = -716691633.8138106
parameter = [0.23263653127832307] likelihood = -112270427.90717506
parameter = [0.282131351929273] likelihood = -76334085.70619875
parameter = [0.16958176152805848] likelihood = -211282208.97196394
parameter = [0.16947696554540892] likelihood = -211543582.2285536
parameter = [0.1888432188456131] likelihood = -170379924.24545822
parameter = [0.08913570103214745] likelihood = -764747147.9825311
parameter = [0.10795220412186066] likelihood = -521384602.2309667
parameter = [0.17982970550268798] likelihood = -187887697.8121534
parameter = [0.22121525682456158] likelihood = -124162672.96993554
parameter = [0.17450952466547906] likelihood = -199518394.3113612
parameter = [0.677335737367131] likelihood = -13243832.863628414
parameter = [0.985439742789232] likelihood = -6256948.998195554
parameter = [0.9543402543785875] likelihood = -6671386.968235109
parameter = [0.7472314554733537] likelihood = -10882071.249818347
parameter = [0.6196644920412991] likelihood = -15823710.308702994
parameter = [0.34154672086305304] likelihood = -52085997.29973687
parameter = [0.11506496109622272] likelihood = -458917941.85009706
parameter = [0.05875644472445644] likelihood = -1759990101.9375498
parameter = [0.17264136210548403] likelihood = -203859758.24265683
parameter = [0.25927345238130356] likelihood = -90386819.41495708
parameter = [0.1729543294505953] likelihood = -203122641.98213133
parameter = [0.13367078156640114] likelihood = -340054281.4037951
parameter = [0.08360760477540599] likelihood = -869219925.1306071
parameter = [0.1376635029977922] likelihood = -320614816.08215
parameter = [0.314205763975507] likelihood = -61545020.328232996
parameter = [0.5139114176031061] likelihood = -23006197.144047473
parameter = [0.20831121182478354] likelihood = -140021883.81735894
parameter = [0.3421884598489254] likelihood = -51890816.745466046
parameter = [0.36070022654059375] likelihood = -46701239.00161579
parameter = [0.17338444983152154] likelihood = -202116106.22438186
parameter = [0.3206952077928762] likelihood = -59079427.25276123
parameter = [0.08612824758888993] likelihood = -819086963.9105815
parameter = [0.06273346509404472] likelihood = -1543912522.7791932
parameter = [0.4034052258427833] likelihood = -37336896.738277055
parameter = [0.2898554627478907] likelihood = -72319968.77226062
parameter = [0.19594754027816574] likelihood = -158249219.31531623
parameter = [0.07711300013815373] likelihood = -1021800329.9890924
parameter = [0.17617310973808084] likelihood = -195768120.36998934
parameter = [0.4349476049899845] likelihood = -32117918.805364184
parameter = [0.3262504969617159] likelihood = -57084585.88690793
parameter = [0.13669656354126022] likelihood = -325166672.9194684
parameter = [0.08976948066679899] likelihood = -753986915.5326788
parameter = [0.2135108108393835] likelihood = -133285058.45472746
parameter = [0.13554477488378763] likelihood = -330716345.39517343
