Sample for t = 0.0
parameter = [0.10571913840138521] likelihood = -543643249.6939485
parameter = [0.34616692597467347] likelihood = -50704917.82940127
parameter = [0.397672980401992] likelihood = -38421037.32639474
parameter = [0.38682286891443124] likelihood = -40606631.4922754
parameter = [0.4057829024516359] likelihood = -36900629.22480091
parameter = [0.4523223881880898] likelihood = -29697858.327453934
parameter = [0.26999405895687406] likelihood = -83351379.26466708
parameter = [0.13767732327450857] likelihood = -320550451.6223468
parameter = [0.08907233045837097] likelihood = -765835694.9232045
parameter = [0.14410678921003517] likelihood = -292585187.2302273
parameter = [0.20766683562734803] likelihood = -140892188.93772355
parameter = [0.3075216860957399] likelihood = -64249495.0504915
parameter = [0.22474489067364997] likelihood = -120293331.02028367
parameter = [0.28302557773811515] likelihood = -75852489.14960614
parameter = [0.3346408831670178] likelihood = -54257930.648858026
parameter = [0.17857582893897223] likelihood = -190535481.51371408
parameter = [0.18563175518322853] likelihood = -176326126.89537326
parameter = [0.26256660620245265] likelihood = -88133744.95105334
parameter = [0.28234029148431916] likelihood = -76221148.88361034
parameter = [0.31793751622283944] likelihood = -60108745.171145424
parameter = [0.2209501046825079] likelihood = -124460855.7059676
parameter = [0.37315865357276823] likelihood = -43634922.06556044
parameter = [0.5179732919346965] likelihood = -22646789.40865034
parameter = [0.38799050260581314] likelihood = -40362592.97450413
parameter = [0.16417621218200834] likelihood = -225424311.13914084
parameter = [0.20936679298999178] likelihood = -138613524.19979313
parameter = [0.17732933132125359] likelihood = -193223550.82998896
parameter = [0.17028828768689333] likelihood = -209532626.0545729
parameter = [0.15090451893133863] likelihood = -266818984.5440972
parameter = [0.3034781343272417] likelihood = -65973025.498916656
parameter = [0.37486314799308273] likelihood = -43239010.266902566
parameter = [0.1971478916011772] likelihood = -156328058.63906097
parameter = [0.2585806142149443] likelihood = -90871831.28314064
parameter = [0.22675374321384242] likelihood = -118171371.34727007
parameter = [0.19981240578680104] likelihood = -152186563.4693794
parameter = [0.29362799410875184] likelihood = -70473573.44490957
parameter = [0.2617696965941132] likelihood = -88671175.64484344
parameter = [0.18445228302203392] likelihood = -178588356.40402997
parameter = [0.20210609215884856] likelihood = -148751857.6783683
parameter = [0.2508035025936759] likelihood = -96594858.49514529
parameter = [0.3462368275061941] likelihood = -50684446.33274893
parameter = [0.5585782790066909] likelihood = -19473918.506649505
parameter = [0.29773284667655603] likelihood = -68543726.39545588
parameter = [0.3980533689946002] likelihood = -38347640.45178969
parameter = [0.38389530373334585] likelihood = -41228320.82938114
parameter = [0.47059714628929616] likelihood = -27436122.897254728
parameter = [0.07522018300479633] likelihood = -1073871873.899919
parameter = [0.05514168132987643] likelihood = -1998302523.805886
parameter = [0.03987345615209301] likelihood = -3821672673.2124195
parameter = [0.037560682893759224] likelihood = -4306795894.972837
parameter = [0.027285660589612955] likelihood = -8161167788.874718
parameter = [0.024831565777176982] likelihood = -9854010981.387573
parameter = [0.025612987921782605] likelihood = -9261914400.245226
parameter = [0.024704688377577597] likelihood = -9955486601.987867
parameter = [0.03606025084167938] likelihood = -4672655500.999694
parameter = [0.055221432995008625] likelihood = -1992534731.590281
parameter = [0.08489144773545955] likelihood = -843127696.6586554
parameter = [0.056238746388106414] likelihood = -1921100044.7655947
parameter = [0.05375838903666365] likelihood = -2102464898.0902894
parameter = [0.09340753169207758] likelihood = -696397882.2706347
parameter = [0.14116116544526913] likelihood = -304923396.91596425
parameter = [0.06563295027406266] likelihood = -1410513959.4533925
parameter = [0.054478358275056905] likelihood = -2047261042.41791
parameter = [0.10197305627474751] likelihood = -584319472.1793321
parameter = [0.03682635960678406] likelihood = -4480264668.800566
parameter = [0.015937850561368105] likelihood = -23920031824.719395
parameter = [0.02125915060559102] likelihood = -13444028853.783594
parameter = [0.029967336448111302] likelihood = -6765890484.516342
parameter = [0.1325502632721785] likelihood = -345827904.2549716
parameter = [0.22450334484154388] likelihood = -120552320.33938445
parameter = [0.09882055515762754] likelihood = -622195195.5750215
parameter = [0.1296819587105904] likelihood = -361295123.68689364
parameter = [0.21951102126944935] likelihood = -126098100.74064797
parameter = [0.133458122147428] likelihood = -341138866.79570127
parameter = [0.08949275378683128] likelihood = -758657037.5873096
parameter = [0.17840276286332404] likelihood = -190905332.55414367
parameter = [0.0533638737958345] likelihood = -2133666550.0295596
parameter = [0.030569619006528086] likelihood = -6501913674.188799
parameter = [0.04600079628219828] likelihood = -2871379190.278916
parameter = [0.10944396886273901] likelihood = -507268110.36988544
parameter = [0.2282130835578078] likelihood = -116664876.94106892
parameter = [0.24870309448331315] likelihood = -98233321.13914117
parameter = [0.34485161951263765] likelihood = -51092444.97289695
parameter = [0.505816375810524] likelihood = -23748467.43765223
parameter = [0.27524049986338883] likelihood = -80204092.89663635
parameter = [0.14774846296536434] likelihood = -278339777.0238371
parameter = [0.2660084786092811] likelihood = -85867782.49393031
parameter = [0.10043359639997862] likelihood = -602369816.9768987
parameter = [0.07187196449710027] likelihood = -1176256966.9186802
parameter = [0.018965957458506943] likelihood = -16891635810.841824
parameter = [0.025910894069406276] likelihood = -9050164112.045553
parameter = [0.03017356837421921] likelihood = -6673718810.41239
parameter = [0.04970585751721304] likelihood = -2459269396.4655027
parameter = [0.2889553899736403] likelihood = -72771212.2057358
parameter = [0.09881140955513983] likelihood = -622310376.8782556
parameter = [0.19190047562791152] likelihood = -164994362.98905405
parameter = [0.28362001541865484] likelihood = -75534864.71188554
parameter = [0.20423236744104045] likelihood = -145670652.0149166
parameter = [0.16195141743235575] likelihood = -231660349.9228006
parameter = [0.14227713541184434] likelihood = -300158740.53958136
parameter = [0.12342486248691951] likelihood = -398855808.16566026
parameter = [0.19427597791283996] likelihood = -160984106.44629592
parameter = [0.14169091326178046] likelihood = -302647590.49369574
parameter = [0.07524430087206031] likelihood = -1073183573.2860942
parameter = [0.06527758469791092] likelihood = -1425913196.273862
parameter = [0.3347964230291648] likelihood = -54207528.02265215
parameter = [0.059421220404431874] likelihood = -1720830557.794757
parameter = [0.013948563343949437] likelihood = -31229303345.76924
parameter = [0.016409410424980845] likelihood = -22564997972.258884
parameter = [0.010454566966888908] likelihood = -55591597850.648186
parameter = [0.017059268943649293] likelihood = -20878554222.001335
parameter = [0.03274208061266856] likelihood = -5667724138.114222
parameter = [0.023255692549049765] likelihood = -11234731516.687172
parameter = [0.017047372952990917] likelihood = -20907703316.883186
parameter = [0.04956288641760933] likelihood = -2473478075.8589554
parameter = [0.04167447973994682] likelihood = -3498491917.832309
parameter = [0.03694322380253147] likelihood = -4451964247.64649
parameter = [0.038559582835870285] likelihood = -4086547919.4985676
parameter = [0.11031386260367385] likelihood = -499299401.48911166
parameter = [0.2756139935327572] likelihood = -79986865.73472975
parameter = [0.2726399228922204] likelihood = -81741444.16085537
parameter = [0.056090880650790854] likelihood = -1931242132.026052
parameter = [0.08505243591785863] likelihood = -839938954.5850534
parameter = [0.10054409589344941] likelihood = -601046517.2781559
parameter = [0.07837344177976945] likelihood = -989198387.291556
parameter = [0.14276342046023976] likelihood = -298117403.59081936
parameter = [0.20636951102300696] likelihood = -142669170.7401194
parameter = [0.07723065305101895] likelihood = -1018689486.9756746
parameter = [0.43025566317297104] likelihood = -32822230.31535971
parameter = [0.3049983062502736] likelihood = -65317019.23788222
parameter = [0.15220460479207312] likelihood = -262280276.9331071
parameter = [0.14572698307131524] likelihood = -286115424.15048957
parameter = [0.0674142991568693] likelihood = -1336956243.3132129
parameter = [0.172740595701334] likelihood = -203625604.51715058
parameter = [0.37794623055316556] likelihood = -42536446.453641444
parameter = [0.5574717929683194] likelihood = -19551299.93174462
parameter = [0.20060602009360118] likelihood = -150984819.52602494
parameter = [0.13384615791186938] likelihood = -339163730.49713683
parameter = [0.23416847917070027] likelihood = -110806269.6776198
parameter = [0.1637513034486993] likelihood = -226595709.8835364
parameter = [0.09876839225620877] likelihood = -622852573.4557601
parameter = [0.12445260188713766] likelihood = -392295442.7869547
parameter = [0.24566615681939957] likelihood = -100677063.90861633
parameter = [0.35400002001581843] likelihood = -48485810.1357886
parameter = [0.08806746350774892] likelihood = -783412071.1442689
parameter = [0.11324116603642842] likelihood = -473819098.8659692
parameter = [0.35250669943495583] likelihood = -48897480.090817675
parameter = [0.23168036911136491] likelihood = -113199037.05190063
parameter = [0.20370900638869377] likelihood = -146420116.00273564
parameter = [0.12186421416029576] likelihood = -409137079.3208812
parameter = [0.07558527789167645] likelihood = -1063522814.7321205
parameter = [0.13528917234147228] likelihood = -331967174.1804396
parameter = [0.13139268305045482] likelihood = -351948290.73534346
parameter = [0.2033080120835316] likelihood = -146998268.6847067
parameter = [0.35409883279296916] likelihood = -48458753.57570471
parameter = [0.17263045248972292] likelihood = -203885525.4461051
parameter = [0.09388159180662654] likelihood = -689382642.1478539
parameter = [0.34813155846995153] likelihood = -50134240.31528207
parameter = [0.4226064137746329] likelihood = -34021159.0402607
parameter = [0.44392201172474904] likelihood = -30832442.600944154
parameter = [0.20271929583557424] likelihood = -147853302.55740708
parameter = [0.12246013138873625] likelihood = -405164870.2263666
parameter = [0.15314567809640475] likelihood = -259066779.6128885
parameter = [0.34781034368530317] likelihood = -50226884.44119765
parameter = [0.24759777619354942] likelihood = -99112339.07873559
parameter = [0.23575703390401065] likelihood = -109318052.7963374
parameter = [0.4502131438296051] likelihood = -29976778.405081496
parameter = [0.34030878453364616] likelihood = -52465631.43481007
parameter = [0.26947043486219624] likelihood = -83675624.0640131
parameter = [0.16967562825387122] likelihood = -211048505.58836466
parameter = [0.23055224875736197] likelihood = -114309540.81647092
parameter = [0.4885674552374624] likelihood = -25454951.27978358
parameter = [0.28786345665534346] likelihood = -73324335.65663165
parameter = [0.3556889204944963] likelihood = -48026457.729576334
parameter = [0.3757588853527622] likelihood = -43033108.953234255
parameter = [0.14236232030678525] likelihood = -299799637.90638846
parameter = [0.10508819825466688] likelihood = -550190817.5425558
parameter = [0.0417790902890948] likelihood = -3480994122.8594704
parameter = [0.0578376730298896] likelihood = -1816350345.0578752
parameter = [0.09615542224170394] likelihood = -657163863.5193114
parameter = [0.1690013446068743] likelihood = -212735953.10999036
parameter = [0.10156162010414543] likelihood = -589063333.8280106
parameter = [0.17237168504359213] likelihood = -204498138.12829542
parameter = [0.19895185008500196] likelihood = -153505960.70045128
parameter = [0.08843833884185995] likelihood = -776855208.9423337
parameter = [0.22808424151894738] likelihood = -116796719.33580744
parameter = [0.1795951629635982] likelihood = -188378762.64668652
parameter = [0.19613836270831692] likelihood = -157941448.7026049
parameter = [0.13190635930202305] likelihood = -349212479.18818724
parameter = [0.1304421717647221] likelihood = -357096160.7564164
parameter = [0.07694111080611368] likelihood = -1026370910.4873475
parameter = [0.07173312903580685] likelihood = -1180814532.4352221
parameter = [0.03768302407248165] likelihood = -4278876523.1026154
parameter = [0.02550043366957894] likelihood = -9343855633.101742
parameter = [0.02689896441075341] likelihood = -8397502298.258223
parameter = [0.011262899438707678] likelihood = -47898381812.92967
parameter = [0.008319342411782329] likelihood = -87789637500.13745
parameter = [0.02762542737561356] likelihood = -7961652918.994488
parameter = [0.02965314628043837] likelihood = -6910026159.149113
parameter = [0.023037752163637102] likelihood = -11448301251.914848
parameter = [0.02374351625148675] likelihood = -10777826344.187086
parameter = [0.0196351854918457] likelihood = -15759819409.700428
parameter = [0.03256616702151503] likelihood = -5729120528.821889
parameter = [0.04440763643917816] likelihood = -3081100967.209931
parameter = [0.021188698919612857] likelihood = -13533579338.65961
parameter = [0.04856850247392545] likelihood = -2575798114.3485537
parameter = [0.051150230156469106] likelihood = -2322341386.010003
parameter = [0.0955066510100748] likelihood = -666122341.3072319
parameter = [0.09579925650123945] likelihood = -662059399.6074934
parameter = [0.10808823081689065] likelihood = -520073125.49874884
parameter = [0.051153197470472325] likelihood = -2322071963.3074093
parameter = [0.04767442155722859] likelihood = -2673316521.1164217
parameter = [0.07691752395067242] likelihood = -1027000482.8796712
parameter = [0.0718982731083407] likelihood = -1175396305.738535
parameter = [0.020728670668437074] likelihood = -14140942290.378849
parameter = [0.023384397859876983] likelihood = -11111402244.404327
parameter = [0.02951160813671671] likelihood = -6976466293.99041
parameter = [0.09441310561166746] likelihood = -681642509.0209483
parameter = [0.10376339169558599] likelihood = -564329706.746795
parameter = [0.2615393012540946] likelihood = -88827468.97041363
parameter = [0.21784560078072585] likelihood = -128033500.02143139
parameter = [0.30252732276045197] likelihood = -66388369.69757183
parameter = [0.10629810900570151] likelihood = -537737287.7490458
parameter = [0.10178616256599361] likelihood = -586467227.6861892
parameter = [0.06719999005709376] likelihood = -1345497279.4712589
parameter = [0.1026137708841818] likelihood = -577045336.900079
parameter = [0.1153108470779417] likelihood = -456962858.07956517
parameter = [0.2161522538660748] likelihood = -130047398.68389276
parameter = [0.11965675481074312] likelihood = -424372062.35600054
parameter = [0.15621667576806622] likelihood = -248981129.183438
parameter = [0.17898463879565357] likelihood = -189666090.36510766
parameter = [0.1707616360626842] likelihood = -208372594.22124776
parameter = [0.2898353944576621] likelihood = -72329984.03132829
parameter = [0.1997623658109455] likelihood = -152262817.73260456
parameter = [0.5270655095359125] likelihood = -21872186.133201562
parameter = [0.20811069317189568] likelihood = -140291841.36905968
parameter = [0.20887586331879765] likelihood = -139265868.25026804
parameter = [0.370381050170089] likelihood = -44291839.7965399
parameter = [0.3898550453496796] likelihood = -39977435.498609096
parameter = [0.18755604138115198] likelihood = -172726548.25270525
parameter = [0.10062199298787292] likelihood = -600116270.2285757
parameter = [0.16936116772492654] likelihood = -211832959.79412878
parameter = [0.48849471810217476] likelihood = -25462532.351946563
parameter = [0.3882130376704446] likelihood = -40316332.2133064
parameter = [0.08991600223275031] likelihood = -751531616.5333651
parameter = [0.10411942796484112] likelihood = -560476855.6787977
parameter = [0.2588691024775675] likelihood = -90669405.82152998
parameter = [0.28798869236286256] likelihood = -73260577.40404361
parameter = [0.4958980379129811] likelihood = -24707941.66142557
parameter = [0.2747206751629723] likelihood = -80507903.388314
parameter = [0.21858430432139106] likelihood = -127169586.32147527
parameter = [0.10754837315041875] likelihood = -525307424.1049057
parameter = [0.224589127997844] likelihood = -120460246.57061166
parameter = [0.10607670767754214] likelihood = -539984340.8895549
parameter = [0.25435100044673337] likelihood = -93919182.78816913
parameter = [0.3022810915212239] likelihood = -66496570.62434186
parameter = [0.3707539703007735] likelihood = -44202783.39103316
parameter = [0.6344422961566344] likelihood = -15095146.047056053
parameter = [0.2894334027714396] likelihood = -72531040.59201741
parameter = [0.44084006375050283] likelihood = -31265053.460026577
parameter = [0.1640752003476404] likelihood = -225701958.6243787
parameter = [0.10787979746331476] likelihood = -522084721.9612026
parameter = [0.09450722641471866] likelihood = -680285474.2693862
parameter = [0.20308115071808844] likelihood = -147326874.81471443
parameter = [0.28874747503887227] likelihood = -72876048.92004102
parameter = [0.21558505601940403] likelihood = -130732600.53436895
parameter = [0.2591764662228506] likelihood = -90454479.187974
parameter = [0.34597613311154884] likelihood = -50760856.96128828
parameter = [0.42677714142391676] likelihood = -33359457.246378563
parameter = [0.15001182740171795] likelihood = -270004010.21098924
parameter = [0.31267655678114087] likelihood = -62148488.804649025
parameter = [0.20566068612216437] likelihood = -143654305.40172562
parameter = [0.2523822850138832] likelihood = -95390136.28166768
parameter = [0.17518031655554525] likelihood = -197993347.53850552
parameter = [0.10632098320108235] likelihood = -537505932.0052726
parameter = [0.27285516299901763] likelihood = -81612532.56625172
parameter = [0.17799456924490795] likelihood = -191781940.14669037
parameter = [0.047317474712092196] likelihood = -2713801822.482293
parameter = [0.08368688184681473] likelihood = -867573870.8978243
parameter = [0.30449709082635995] likelihood = -65532225.489081815
parameter = [0.4039114546412982] likelihood = -37243365.53745458
parameter = [0.49584609583161215] likelihood = -24713118.46226161
parameter = [0.5660155168208867] likelihood = -18965520.8095352
parameter = [0.3779416557010065] likelihood = -42537476.23736478
parameter = [0.22777881142850012] likelihood = -117110156.30564737
parameter = [0.21056532784498044] likelihood = -137040042.63799834
parameter = [0.18708177692255137] likelihood = -173603404.36307123
parameter = [0.07807376336833712] likelihood = -996806841.8377222
parameter = [0.13733106924740096] likelihood = -322168902.74898905
parameter = [0.35311589056303216] likelihood = -48728911.00923926
parameter = [0.24893550557910837] likelihood = -98049981.63446136
parameter = [0.3521002864289746] likelihood = -49010425.39624289
parameter = [0.35497112473817233] likelihood = -48220885.01143032
parameter = [0.07914136931438377] likelihood = -970094668.0197983
parameter = [0.05726293299488274] likelihood = -1852994230.091377
parameter = [0.0901558192277502] likelihood = -747538743.9121139
parameter = [0.07835852630302663] likelihood = -989575009.233794
parameter = [0.2351001660428712] likelihood = -109929773.5956938
parameter = [0.4309889259772471] likelihood = -32710641.19741869
parameter = [0.13682155881243155] likelihood = -324572823.04763657
parameter = [0.07573004007227756] likelihood = -1059460734.8456111
parameter = [0.0235670691268252] likelihood = -10939818110.15805
parameter = [0.044454359990232825] likelihood = -3074627616.7426243
parameter = [0.04233497929062437] likelihood = -3390178342.5630875
parameter = [0.0757618784938445] likelihood = -1058570459.3842075
parameter = [0.1250111762929277] likelihood = -388797569.0794595
parameter = [0.07384252137056523] likelihood = -1114315585.498897
parameter = [0.25081987966831704] likelihood = -96582244.7457906
parameter = [0.27437260357485127] likelihood = -80712299.06904794
parameter = [0.2128888016406597] likelihood = -134065049.20186022
parameter = [0.14164517874640045] likelihood = -302843060.27474225
parameter = [0.046004966561620536] likelihood = -2870858641.6565
parameter = [0.030871333413532324] likelihood = -6375444578.355743
parameter = [0.04834690695801782] likelihood = -2599464298.552785
parameter = [0.125985935468497] likelihood = -382804552.42747855
